Actiune,Timestamp
Afisare program muzeu,2023-05-18 02:13:02
Sortare exponate,2023-05-18 02:14:35
Afisare numar vizitatori,2023-05-18 02:14:48
Afisare Angajati,2023-05-19 09:22:03
Adaugare Angajat,2023-05-19 09:22:12
Adaugare Angajat,2023-05-19 09:26:34
Adaugare Angajat,2023-05-19 09:27:58
Afisare Angajati,2023-05-19 09:30:56
Afisare Angajat,2023-05-19 09:31:04
Editare Angajat,2023-05-19 09:31:21
Stergere Angajat,2023-05-19 09:31:50
Stergere Angajat,2023-05-19 09:32:29
Afisare Angajati,2023-05-19 09:32:34
Adaugare Angajat,2023-06-01 05:45:11
Adaugare Angajat,2023-06-01 05:51:09
Adaugare Angajat,2023-06-01 05:59:14
Adaugare Galerie,2023-06-01 06:05:45
Adaugare Angajat,2023-06-01 06:07:04
Afisare Angajati,2023-06-01 06:07:30
Adaugare Galerie,2023-06-01 06:16:19
Adaugare Tur,2023-06-01 06:17:19
Afisare Tururi,2023-06-01 06:17:37
Editare Tur,2023-06-01 06:17:51
Afisare Tururi,2023-06-01 06:19:07
Editare Tur,2023-06-01 06:19:14
Afisare Tururi,2023-06-01 06:20:58
Editare Tur,2023-06-01 06:21:01
Afisare Tururi,2023-06-01 06:21:11
Afisare Tururi,2023-06-01 06:24:36
Afisare Tur,2023-06-01 06:24:41
Stergere Tur,2023-06-01 06:24:48
Afisare Angajati,2023-06-03 03:36:57
Afisare Angajati,2023-06-03 03:37:43
Afisare Angajat,2023-06-03 03:37:47
Adaugare Angajat,2023-06-03 03:38:08
Adaugare Angajat,2023-06-03 03:44:55
Afisare Angajati,2023-06-03 03:47:27
Adaugare Angajat,2023-06-03 03:47:56
Editare Angajat,2023-06-03 03:49:41
Afisare Tururi,2023-06-03 03:57:50
Adaugare Tur,2023-06-03 03:57:53
Editare Tur,2023-06-03 03:58:46
Adaugare Tur,2023-06-03 03:59:19
Afisare Tururi,2023-06-03 04:04:22
Afisare Tururi,2023-06-03 04:10:57
Afisare Tur,2023-06-03 04:11:03
Editare Tur,2023-06-03 04:11:14
